n_timesteps,train-AverageReturn,train-NumTrajs,Time-Sampling,Time,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,LossAfter,train-EnvExecTime,LossBefore,Time-Optimization,Itr,ItrTime,train-PolicyExecTime,train-MaxReturn
620000,2.053463885283951,100,13.593587398529053,996.159321308136,34.36586159183298,8.758552079834462,-123.3490081322735,0.15401840209960938,0.025126353,2.69840145111084,0.05455478,0.5407009124755859,61,14.290474891662598,10.623235940933228,94.54103597160034
630000,8.69349716858781,100,16.719325065612793,1013.5198612213135,29.996768139550696,20.86375363846379,-64.51235830790996,0.14910554885864258,0.025839603,2.8965256214141846,0.055941902,0.4728262424468994,62,17.3414568901062,13.541933298110962,78.84399836806298
640000,1.723387216275125,100,15.807920455932617,1029.9958045482635,33.8288755884928,10.106365395692281,-75.01266584709707,0.11799073219299316,0.035275612,2.8114748001098633,0.06581992,0.5267958641052246,63,16.452960968017578,12.733341932296753,97.99915851020712
650000,9.159243417639448,100,13.403181314468384,1044.0198061466217,33.51301053643829,21.166097552725322,-74.43139169327539,0.15014290809631348,0.042123027,2.634110689163208,0.071482204,0.4390854835510254,64,13.992649793624878,10.491511106491089,82.79739253622076
660000,7.415658630815581,100,15.054609060287476,1059.8785464763641,36.453239020819396,19.92286320789237,-80.6069002214178,0.14278435707092285,0.025814105,2.8109161853790283,0.05838795,0.6390776634216309,65,15.83670973777771,11.966391324996948,85.34038575329089
670000,6.47941623220373,100,16.0287344455719,1076.5508863925934,37.472630775623,16.380217560188967,-84.44016382892346,0.10158586502075195,0.03675126,2.838674783706665,0.06624102,0.5148618221282959,66,16.65253257751465,12.913556098937988,96.48947734932962
680000,6.83764696581914,100,15.03253173828125,1092.3197782039642,32.546961904185046,18.790899165712993,-70.9753788573282,0.12431168556213379,0.02171992,2.789530038833618,0.056555048,0.5761713981628418,67,15.735020399093628,11.94064974784851,97.18927549159737
690000,8.747407979491175,100,14.845704317092896,1107.848048210144,36.58190660864428,23.31140334496234,-115.52670159223324,0.15202116966247559,0.015050274,2.7280945777893066,0.051019363,0.5075201988220215,68,15.50595736503601,11.856804370880127,81.77433273919522
700000,2.8549244915158734,100,15.45264482498169,1124.1690828800201,34.01905222601636,9.995916514247245,-74.12722356887653,0.10053443908691406,0.03334617,2.7432682514190674,0.061656676,0.7425732612609863,69,16.296249628067017,12.416659593582153,74.95582058593381
710000,5.275252630495686,100,15.492350339889526,1140.3891623020172,27.144043115990492,12.295125650735535,-77.26217439522601,0.10241341590881348,0.031285368,2.786372184753418,0.059012543,0.5783727169036865,70,16.17421579360962,12.424569129943848,77.01584098679912
720000,3.292733951068115,100,15.84319019317627,1156.966782093048,30.797672409789858,11.301055463240417,-82.40562251396912,0.14044523239135742,0.015994394,2.977593421936035,0.048255727,0.5576128959655762,71,16.541953086853027,12.595021724700928,81.12187458756301
730000,8.292880849098635,100,17.283870458602905,1174.9398801326752,34.95460713263073,20.42000003329686,-79.66755833293671,0.11656427383422852,0.021749264,2.893461227416992,0.052687846,0.5389218330383301,72,17.940076112747192,14.103825569152832,106.28975058343062
740000,7.946418060816964,100,17.3603413105011,1192.9865131378174,29.000480397391293,19.256121415880767,-101.73035885148133,0.1002802848815918,0.037527904,3.105842113494873,0.067095056,0.5544631481170654,73,18.015316247940063,13.952936172485352,98.22831734253378
750000,3.7192590733548356,100,16.372499465942383,1210.1439414024353,29.862440815706027,12.898099776001391,-95.117833189625,0.13628196716308594,0.031972192,2.9220337867736816,0.0652628,0.6281442642211914,74,17.13758373260498,13.187068700790405,77.77746275470228
760000,14.465409455422591,100,15.005394220352173,1225.820749282837,32.563524254310835,30.880725255111894,-119.25824286524481,0.12484335899353027,0.02273529,2.8644626140594482,0.05489159,0.4911186695098877,75,15.621571063995361,11.856124877929688,80.97179635346058
770000,17.756367397124812,100,13.997535943984985,1240.6013147830963,30.48913165895476,35.29517995271035,-61.42167462168959,0.11734962463378906,0.014374994,2.898552417755127,0.046922673,0.6332368850708008,76,14.74835467338562,10.837444305419922,95.2957975272129
780000,19.503934734132812,100,15.605978727340698,1256.8879566192627,34.0606542274194,42.44360083776283,-85.0881849007644,0.12259173393249512,0.021328418,2.743187427520752,0.05460838,0.5262269973754883,77,16.257705211639404,12.58989667892456,92.4462555125925
790000,19.583307779241228,100,13.29424500465393,1271.017831325531,36.379793800331825,41.64155563537307,-73.52795710262114,0.14011001586914062,0.034987792,2.729841947555542,0.06592919,0.6711254119873047,78,14.107876539230347,10.310503244400024,98.95545483551128
800000,15.390769160571649,100,17.169754028320312,1288.9757153987885,32.834784030228306,33.52142760123716,-70.7471285364335,0.11147308349609375,0.007446263,2.907754898071289,0.04205494,0.6384682655334473,79,17.921302795410156,13.964097261428833,109.03550034067473
810000,20.696673874073696,100,270.00896191596985,1559.7387495040894,33.381523842977316,44.12117664513838,-82.92314654207917,0.16422104835510254,0.025833514,2.788909912109375,0.058865644,0.5664551258087158,80,270.74444246292114,11.263919591903687,90.08053174754305
820000,21.010398835176282,100,16.140281438827515,1576.539038181305,36.67480030585188,44.005689318417666,-100.54915427573304,0.13295221328735352,0.008198808,2.9871246814727783,0.04680688,0.494091272354126,81,16.767620086669922,12.836674690246582,109.67922471112429
