n_timesteps,train-MaxReturn,Itr,train-StdReturn,Time,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-NumTrajs,LossAfter,Time-SampleProc,train-AverageReturn,LossBefore,train-PolicyExecTime,train-MinReturn
1180000,-59.74567685909309,117,1.254798990231591,5578.123116016388,27.793857097625732,4.340825080871582,-106.51328016234997,1.747406005859375,26.025319814682007,100,-0.025303934,0.019504070281982422,-62.49502940044685,-0.019888267,21.226439476013184,-65.37441846723951
1190000,-60.03402328264199,118,1.1049532309552748,5605.63463306427,27.48887014389038,4.265400409698486,-106.35224301820764,1.729266881942749,25.74025297164917,100,-0.0034166893,0.01890110969543457,-62.34344467335469,-0.0018852486,20.992920637130737,-65.53682887400997
1200000,-59.60141932796014,119,1.1298149873436303,5633.219142913818,27.56352424621582,4.297202825546265,-106.47615957279578,2.230332851409912,25.30526900291443,100,0.0070976783,0.02637505531311035,-62.45798845772238,0.011982401,20.54961109161377,-64.79941432188723
1210000,-58.20604147686043,120,1.3500932405216417,5661.556339025497,28.31800127029419,4.252796649932861,-106.35624280287989,1.7805700302124023,26.512804985046387,100,-0.04496047,0.02413797378540039,-62.34255558929774,-0.04003745,21.81447148323059,-65.59422744359304
1220000,-59.0459582538152,121,1.1782549158058553,5689.162472009659,27.583954095840454,4.301933288574219,-106.3893012216749,1.7587838172912598,25.805299997329712,100,-0.047579955,0.019396066665649414,-62.37699589134969,-0.026433391,21.051772594451904,-64.89560918224228
1230000,-59.58190721485052,122,1.2298252652606092,5715.912966966629,26.728776931762695,4.270162582397461,-106.27859042404134,1.6566989421844482,25.04912304878235,100,-0.0064852294,0.019189119338989258,-62.26986595913414,0.012234729,20.30397343635559,-65.8045717234956
1240000,-59.65721627958729,123,1.1615227989806403,5743.673923969269,27.739614009857178,4.2347753047943115,-106.59260975444455,1.7516810894012451,25.968093156814575,100,0.0034637298,0.019349336624145508,-62.56784147769813,0.024223283,21.2741961479187,-65.44937040036228
1250000,-60.06060828590365,124,1.2805828975852172,5773.584295988083,29.888707160949707,4.379648208618164,-106.33517652985886,1.700273036956787,28.167311191558838,100,-0.032505926,0.019778013229370117,-62.32559495472443,-0.025559885,23.31257653236389,-65.54352654517422
1260000,-59.26295840130416,125,1.3085104509366043,5800.472532987595,26.866497039794922,4.298673391342163,-106.60244373602238,1.5938680171966553,25.252593278884888,100,-0.032742895,0.019528865814208984,-62.57625681479749,-0.0037247664,20.51134753227234,-66.3354595580465
1270000,-59.51902235584682,126,1.3384919659701693,5828.097854137421,27.59284210205078,4.251442193984985,-106.50551963895057,1.654198169708252,25.91176700592041,100,-0.031834032,0.021893024444580078,-62.48100098146415,-0.036431517,21.200189113616943,-65.28336937021537
1280000,-59.68595592672395,127,1.126419056028799,5855.763875961304,27.632216691970825,4.265325307846069,-106.36585809239072,1.6348800659179688,25.974923133850098,100,-0.016261622,0.020888805389404297,-62.354972163795345,-0.008560204,21.268400192260742,-65.34514591067678
1290000,-59.733654452063135,128,1.1786827585851147,5882.933197259903,27.14703893661499,4.318610191345215,-106.43130376064995,1.7504291534423828,25.375244140625,100,0.034890953,0.02060389518737793,-62.41557533236829,0.046820104,20.602877616882324,-64.95251363757929
1300000,-60.48304914737539,129,1.2379524933759694,5910.921689033508,27.96690583229065,4.335170030593872,-106.71566026856661,1.5564041137695312,26.389190912246704,100,-0.0138234515,0.019788026809692383,-62.682875562704794,0.033537738,21.598955631256104,-66.20391974849801
1310000,-59.66409658408996,130,1.2637461898901932,5938.808063030243,27.86482810974121,4.359854459762573,-106.58620026669463,1.628537893295288,26.215587854385376,100,-0.052000873,0.01923513412475586,-62.559296143910785,-0.02660408,21.40867042541504,-65.58327899082549
1320000,-59.451886064204515,131,1.087019569992433,5966.084993124008,27.254991054534912,4.247714281082153,-106.33833956132274,1.7578177452087402,25.476188898086548,100,-0.031749863,0.020437002182006836,-62.327446372447874,-0.019463934,20.782591581344604,-65.09244225774171
1330000,-59.06860592691179,132,1.315526588373605,5994.025719165802,27.918235778808594,4.2639007568359375,-106.57676081314385,1.7725248336791992,26.12609624862671,100,0.00053385313,0.019221067428588867,-62.55092020759133,0.009042574,21.40055227279663,-66.22824726441088
1340000,-60.24957901027458,133,1.1862264489813705,6021.240475893021,27.19354796409607,4.466169595718384,-106.61135671810754,1.6825249195098877,25.490604162216187,100,-0.018931918,0.0200498104095459,-62.58121275060712,-0.014631135,20.580995559692383,-65.40109746031582
1350000,-59.80905487421437,134,1.3372903385362065,6048.684144020081,27.42240309715271,4.266277074813843,-106.3775947029917,1.7421517372131348,25.66078805923462,100,-0.024615094,0.019078969955444336,-62.35913693160446,-0.0032384582,20.945362091064453,-65.68542582067636
1360000,-60.23100058536651,135,1.1932974352631898,6077.15025806427,28.442534923553467,4.378714084625244,-106.51749629915776,1.7588138580322266,26.662969827651978,100,-0.041912656,0.0191650390625,-62.500289020008275,-0.01430233,21.833771467208862,-65.05051085832334
1370000,-59.67482015775775,136,1.27865916624705,6104.946070194244,27.77449607849121,4.293545961380005,-106.36726367426284,2.075171947479248,25.677509307861328,100,-0.0036379104,0.02030634880065918,-62.35533155375014,0.009025768,20.93821358680725,-66.09041234540855
1380000,-59.91235649679834,137,1.1486100338395044,6133.145082950592,28.177531003952026,4.360467433929443,-106.29859340060646,1.8300349712371826,26.32674288749695,100,-0.028048303,0.019325971603393555,-62.28836336241104,-0.024348095,21.521584272384644,-65.49141576572424
1390000,-60.17858199203542,138,1.1874368335729384,6160.806497097015,27.640213012695312,4.478654623031616,-106.7406939389277,1.7255339622497559,25.888535976409912,100,-0.017552072,0.02571392059326172,-62.70728076360725,-0.007483536,20.963400840759277,-65.89789866462382
1400000,-60.472733670408765,139,1.0241247057411698,6188.715284109116,27.887513160705566,4.354499816894531,-106.35359909938677,2.351094961166382,25.515975952148438,100,-0.012690303,0.01905679702758789,-62.347364657759066,-0.0013015954,20.71282410621643,-64.74055366570671
1410000,-60.014899091305296,140,1.2928829533307253,6216.902901172638,28.16860318183899,4.2582197189331055,-106.68340356519163,1.737287998199463,26.410471200942993,100,-0.020614967,0.019550085067749023,-62.65257716333392,-0.0022148828,21.7087082862854,-65.22897671656621
1420000,-60.12245927722521,141,1.2593744616077338,6246.4687740802765,29.54442811012268,4.335606575012207,-106.45066787852706,1.7848730087280273,27.738368034362793,100,0.008661354,0.019843101501464844,-62.428111377565045,0.014075167,22.956294059753418,-65.67740717179475
1430000,-59.301828145503634,142,1.2245587673552105,6273.514976024628,27.02435040473938,4.331281900405884,-106.69031329549689,1.7609748840332031,25.242785930633545,100,0.007291719,0.019955158233642578,-62.65897045595332,0.015397354,20.464436769485474,-66.24523928387235
1440000,-60.120452424091454,143,1.1904169235807767,6306.590929031372,33.05324697494507,4.662726879119873,-106.56907143835599,1.9553601741790771,31.07521891593933,100,-0.040655807,0.021341800689697266,-62.544773031047505,-0.027067218,25.934040307998657,-66.57234064724337
1450000,-60.277183737634736,144,1.1778583104859777,6340.677722930908,34.06406283378601,4.891463994979858,-106.45960747930093,1.9126598834991455,32.12833094596863,100,-0.0046239076,0.022365808486938477,-62.44366189057126,0.009479836,26.771326541900635,-65.95235538726813
1460000,-59.66701888719523,145,1.162329549874216,6370.099426984787,29.400628805160522,4.360408306121826,-106.40655816032516,1.6751110553741455,27.567475080490112,100,-0.017995259,0.03581738471984863,-62.392181694413345,-0.01539069,22.755742073059082,-64.941468116274
1470000,-60.064184319796894,146,1.1239252318930353,6398.529247045517,28.407921075820923,4.274523735046387,-106.50520185098065,1.783761739730835,26.603541135787964,100,-0.01392379,0.020062923431396484,-62.487001332091225,0.0038395515,21.881893157958984,-64.87890366414972
1480000,-59.638234997984014,147,1.0551235409219577,6426.911370038986,28.36141300201416,4.28520393371582,-106.31804904176059,1.5082309246063232,26.648935079574585,100,-0.012592136,0.20389318466186523,-62.31098809079876,0.024698343,21.91281533241272,-65.00711029446599
1490000,-59.47231805643173,148,1.3714919154860539,6455.131880044937,28.19931197166443,4.294256210327148,-106.34367940257665,1.845151662826538,26.333449125289917,100,-0.008359551,0.01927924156188965,-62.33173903819801,0.0071357954,21.578244924545288,-65.48756956947345
