n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
990000,21454.22687983513,303.51763894481894,178.36680162186926,0.006868567,105.02674293518066,1.8960075354958599,107.67536425590515,0.026226043701171875,0.0063896477,98,168.7093656431694,173.20225377821782,100,99.78854751586914,2.622009754180908,4.795417308807373
1000000,21556.750694036484,303.04982512771517,177.77131713401226,-0.018866258,99.9525191783905,2.162858246104213,102.5016942024231,0.044435977935791016,-0.019068902,99,166.4921051149321,173.03281636467716,100,94.72257804870605,2.500844955444336,4.804901838302612
1010000,21662.365873098373,302.88899918004665,178.62158914853916,-0.0073893187,103.01823592185974,2.3277511893530964,105.59194612503052,0.036540985107421875,-0.008001718,100,168.07574158797095,172.96627515869253,100,97.92060351371765,2.5349488258361816,4.674235582351685
1020000,21767.692404985428,303.5546485882917,177.07211766185918,-0.00108797,102.6611430644989,1.9239497466930968,105.30465888977051,0.01909780502319336,-0.0013443187,101,167.4495826159589,173.2168337494426,100,97.59859371185303,2.6228649616241455,4.639214038848877
1030000,21876.3511800766,303.90268683630967,178.39497993901028,0.014630353,106.13885998725891,1.9181754671590332,108.63658809661865,0.01822185516357422,0.014681536,102,168.54638344604388,173.3134848313912,100,101.06019234657288,2.478163957595825,4.658051490783691
1040000,21985.712641954422,302.9777636626273,177.58143566323625,0.0055265985,106.61885213851929,2.0840353020325537,109.33873414993286,0.019092082977294922,0.0043434603,103,167.0326685076321,172.98974490077202,100,101.42915558815002,2.6992757320404053,4.766813278198242
1050000,22097.688558101654,302.9037689539092,177.88091623435741,0.015338977,109.32114696502686,1.8989025812741942,111.9533281326294,0.027575016021728516,0.01408512,104,167.80981775977847,172.9665824675213,100,104.15932083129883,2.603174924850464,4.74321174621582
1060000,22208.203157901764,302.49085078097244,177.53864419997254,-0.0032918968,107.93498682975769,2.1015701813291243,110.49294209480286,0.028968095779418945,-0.0044424515,105,167.58234970461766,172.7861283785053,100,102.78056335449219,2.5267088413238525,4.730994939804077
1070000,22317.902573108673,303.20993682211616,177.8788087205977,0.015619347,106.77468180656433,1.8740726302599602,109.67741107940674,0.02169489860534668,0.012033524,106,169.27391798305285,173.10519634039375,100,101.50666999816895,2.880182981491089,4.745452404022217
1080000,22429.275984048843,302.0474991040476,176.64178305816696,0.0050149313,108.51587319374084,1.9187676204887611,111.35259699821472,0.019025087356567383,0.0036177642,107,168.34604844390788,172.70458068614346,100,103.49206686019897,2.816331148147583,4.607642889022827
